rel,way,tags,region
3390508,84690066,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390508,301920736,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390508,252801048,"{'admin_level': '9', 'boundary': 'administrative', 'loc_name': 'Denjerlië;Lië', 'name': 'Denderleeuw', 'type': 'boundary'}",Denderleeuw
3390510,252801050,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Welle', 'type': 'boundary', 'wikidata': 'Q3472348', 'wikipedia': 'nl:Welle (Oost-Vlaanderen)'}",Welle
3390510,84690262,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Welle', 'type': 'boundary', 'wikidata': 'Q3472348', 'wikipedia': 'nl:Welle (Oost-Vlaanderen)'}",Welle
3390510,84690723,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Welle', 'type': 'boundary', 'wikidata': 'Q3472348', 'wikipedia': 'nl:Welle (Oost-Vlaanderen)'}",Welle
3390510,85033138,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Welle', 'type': 'boundary', 'wikidata': 'Q3472348', 'wikipedia': 'nl:Welle (Oost-Vlaanderen)'}",Welle
3390510,252732482,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Welle', 'type': 'boundary', 'wikidata': 'Q3472348', 'wikipedia': 'nl:Welle (Oost-Vlaanderen)'}",Welle
3390510,252801053,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Welle', 'type': 'boundary', 'wikidata': 'Q3472348', 'wikipedia': 'nl:Welle (Oost-Vlaanderen)'}",Welle
3395504,253243345,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Borsbeke', 'type': 'boundary', 'wikidata': 'Q2407983', 'wikipedia': 'nl:Borsbeke'}",Borsbeke
3395504,253243344,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Borsbeke', 'type': 'boundary', 'wikidata': 'Q2407983', 'wikipedia': 'nl:Borsbeke'}",Borsbeke
3395504,80378608,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Borsbeke', 'type': 'boundary', 'wikidata': 'Q2407983', 'wikipedia': 'nl:Borsbeke'}",Borsbeke
3395504,253307019,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Borsbeke', 'type': 'boundary', 'wikidata': 'Q2407983', 'wikipedia': 'nl:Borsbeke'}",Borsbeke
3395504,253307016,"{'admin_level': '9', 'boundary': 'administrative', 'name': 'Borsbeke', 'type': 'boundary', 'wikidata': 'Q2407983', 'wikipedia': 'nl:Borsbeke'}",Borsbeke
